



# Frozen Ocean 1 Base 1
# 	This is a base in a nice little pointy ice hill.
#	It is at standard Z hieght of 69.
-2410, 766, "FO1B1"


# Frozen Ocean 1
#	This place has a bunch of blue and packed ice.
#	There is a little mini base here
#	There is also the begining of a path for minecart rails from Stronghold 1 to here.
-2500, 700, "FO1"


# First Allay Base
# 	This one has a simple obsidian generater.
-2132, -3735, "OPA1B"


# Operation Ghast Base
#	This is where the Ragdoll cat was tamed.  :)
2100, 1650, "OGB"


# Giant Broken Nether portal to get a Ghast???
2057, 1607, "GBNP1"


# Frog Base 1
# 	It is is still very primitive; it has some stuff though.
2600, 260, "FB1"



# Goat Base 1
#	This is the Goat area near "MCS1-P-OO".
#
#	y = 159
#
#	There is a bunch of Powder Snow near here.
#
#	A green frog farm is also here, under the trap doors.
#
-664, 2143, "GB1"


# White Frog Base 1
#	This has a farm for white frogs.
#
#	The entrance is at y = 63
#
-1830, 1850, "WFB1"
