

# World Spawn Point
#	There is a decent little mini-base here.
-73, 71, 53, "WS"


# Buried Treasure 1
-39, ~, -151, "BT1"
 

# (Small) Cold Ocean Ruin #2
#	I found Blad pottery sherd here.
184, ~, 136, "COR2"



# (Large) Cold Ocean Ruin #3
#	This cluster is under water by a frozen biome; there are Polar Bears near.
#	I stopped archeology after I found Mourner and Plenty pottery sherds, so there should still be a lot left here.
360, ~, 136, "COR3"




# Ocean Monument 1
#	Stony Shore mini-base: 320, 210
#	Yep, it is there and I got a Tide trim on the first Elder Gaurdian!   :)
#	I got the gold, but not the sponges yet.
# 648, ~, 152, "OM1"



# Village 1 
-304, ~, 384, "V1"



# Village 2
# 	So far, this is my main base.
#	This base has good villager trades and
#	 	a cool 'Cat gift' farm.
#	Armor Trims
#		Coast
#		Dune
#		Eye
#		Host
#		Raiser
#		Shaper
#		Silence
#		Tide
#		Vex
#		Ward
#		Wayfinder
#		Wild
#		
#	Pottery Sherds
#		Angler
#		Archer
#		Blade
#		Burn
#		Danger
#		Explorer
#		Heart
#		Heartbreak
#		Howl
#		Mourner
#		Plenty
#		Prize
#		Shelter
#		Skull
#		Snort
#
-1632, ~, 704, "V2"



# Lush Caves 1
#	There is a mini-base here.
#	It has Allay, Axolotl, horse, and a Sniffer.
-1070, 63, 1344, "LC1"







# Medium Iron Ore Vein 1
#	Yes, it is there and should still have some iron.
#	There is also a Spider Spawner right at the (top) entrance to the vein.
-1920, -16, 656, "MIOV1"


# Stronghold 1
# 	The End Portal is at -543, -38, 1301
# 	I found 2 Eye Trims in the Library, -520, -38, 1343
#	There is a Savana biome near by here.
-524, ~, 1332, "SH1"



# Mineshaft 
#	At the surface, this is right next to a Lukewarm Ocean.
#	I am trying to get the rare blue Axolotl here.
#
-584, -20, 1384, "MS1"



# Trial Chamber 3
#	This is is pretty big and still has lots of loot.
-280,  -17, 1304, "TC3"




# Village 7
#	This is a Savana village.
#	The base is picking up.
#	There is Librian with a Mending Book trade here, as well as an Unbreaking trader.  I Enchanted the 1st Elytra here.
-304, 64, 1943, "V7"


# # Amethyst Geode 2
-555, 34, 1273, "AG2"



# Shipwrek 1
# I got two coast trims here.
# I had to leave a horse here, to get back more quickly cuase of the water.
-1128, ~, 1350, 


# Dripstone Cave 1
-1642, 56, 662, "DC1"








# Ancient City 1
#	Dude, I found 2 Ward trims and a Silence Armor trim!
#	I stopped looting when I found the Silence trim, but I think that was the last chest.
#	So there may but 1/2 more chests, but it is pretty much looted.
#	But most of the Loot and Base expansion materials and resources are at the top mini-base.
-1864, -51, 408, "AC1"


# Ancient City 1 Runined Nether Portal
#	Nope, it was not at the surface.
-1818, ~, 269, "AC1NP"



# Trail Ruins 
#	Nope, it was not there.
-1921, ~, -488, "TR1"



# Trial Chambers 1
#	It has a waterfall for entrance/exit.
#	The scaffold exit is at 
#		-1881, -20, -355
#	It is so fun!
-1864, ~, -360, "TC1"



# Illager Outpost 1
#	I did not find the Sentry Armor trim here,
#	but I did find Allay here.
#	There are still some there.
-1344, ~, -224, "IO1"




# Illager Outpost 2
#	No Armor Trim/Smithing Template here.
-160, ~, -368, "IO2"




# Illager Outpost 3
#	No Armor Trim/Smithing Template here.
64, ~, 1200, "IO3"


# Illager Outpost 4

784, ~, 2240, "IO4"




# (Large) Cold Ocean Ruin 1
#	I found the Blade Pottery Sherd here.
#	There is a small base on an island here, with a bunch of gravel and other weak loot.
-2760, ~, 776, "LCOR1"


# Medium Iron Ore Vein 2
#	Nope, it was not there.
#	But there is an exposed Geode on the Scafolding used to get down there.
#	There must have been a glich becuase the Geode diapeared. 
#		My down tunnel and scaffolding also disapeared?!?!.  
-3728, -48, 1000, "MIOV2"



# Village 3
#	This is a decent villager base here.
#	There is a Armorer with Diamond trades here.
#	There are tamed dogs/wolf here.
#	This is right between a Trial Chamber and a Trail Ruins!
-3584, ~, 1200, "V3"


# Trail Ruins 2 
# This is near V3
# -3640, ~, 1224, "TR2"


# Trial Chamber 2
#	This is near V3
#	The Waterfall exit is around Y = -20
#	I am pretty sure I got all the loot, but it is still fun to take the Trial!
# -3512, ~, 1176, "TC2"


# Illager Outpost 5
#	Still, no Armor Trim/Smithing Template here.
#	What the crap?!?  25% my ass (!?!)
-4256, ~, 640, "IO5"



# Woodland Mansion 1
# I found the Vex trim here.
# There was a bunch of Allay here!
-5800, ~, 1608, "WM1"



# Village 4
#	There are Villages here in the homes.
# 2480, ~, 928, "V4"


# Wierd Circle Cave
1817, 92, 734, "WCC"



# Floating Wolf and Parrot
#	I went back for them!
#	There is a (well stocked) mini base now, so they are not just floating there in the water.
#	There is an Ender Chest here.
#	I decided to keep the wolf here and only take back the Parrot, which I took to V2.
#	I also took and kept an Allay here.
1636, 62, 570, "FWP"


# (Small) Cold Ruin #4
#	I found an Explorer Pottery Sherd.
1320, ~, 504, "COR4"

# Illager Outpost 6
#	Still, no Armor Trim/Smithing Template here.
#	The is a super-mini base near, by the bamboo circle.
# 3104, ~, 688, "IO6"


# Village 8
#	Plains Village with a villager base.
#	It is nice here near a large Savana.
3065, 86, 1383, "V8"


# Armadillo Sight 2
#	There are some Armadillos here:
#	(I did not record the location of the first sight of Armadillos.)
2700, 71, 1275, "A2"


# Witch Hut
#	Yay, I got the Black Cat.
#	There was also a bunch of Slimes here.
2920, ~, 56, "WH1"


# Jungle Temple
#	There were 2 Wild Armor Trims in the Puzzle Chest.
3928, ~, 1208, "JT1"




# Village 5
#	This is near a bunch of Warm Ocean Ruins
#	
1872, ~, 1632, "V5"



# (Large) Warm Ocean Ruin 1
#	I found one Sniffer egg here.
1752, ~, 1768, "WOR1"



# (Large) Warm Ocean Ruin 2
#	I got a bunch of Pottery Sherds here.
1784, ~, 2056, "WOR2"






# (Large) Warm Ocean Ruin 3
#	I got some 2 Sniffer Eggs here!
2264, ~, 1976, "WOR3"




# Village 6
#	Desert Temples and Well and some Illager Outposts are near here.
#	I got Dune at the closest Desert Temple.
#	There are Allay in the nearest Desert Temple.
#	There is a good Villager base here.
-8048, ~, -4304, "V6"




# Amethyst Geode 1
-8022, -1, -4258, "AG1"




# Desert Well
# 	It was there but no good loot.
-7414, ~, -4474, "DW1"



# Illager Outpost 7
#	Finally, Sentry Trim Baby!
-7616, ~, -3056, "IO7"






